Date,Value
2024-01-01,964
2024-01-02,981
2024-01-03,1141
2024-01-04,1147
2024-01-05,898
2024-01-06,582
2024-01-07,592
2024-01-08,1101
2024-01-09,1057
2024-01-10,1259
2024-01-11,1058
2024-01-12,977
2024-01-13,612
2024-01-14,415
2024-01-15,849
2024-01-16,1049
2024-01-17,1077
2024-01-18,1148
2024-01-19,934
2024-01-20,515
2024-01-21,590
2024-01-22,1006
2024-01-23,1123
2024-01-24,1030
2024-01-25,1055
2024-01-26,1042
2024-01-27,532
2024-01-28,696
2024-01-29,1261
2024-01-30,1411
2024-01-31,1472
2024-02-01,1194
2024-02-02,929
2024-02-03,485
2024-02-04,504
2024-02-05,818
2024-02-06,1145
2024-02-07,971
2024-02-08,973
2024-02-09,1057
2024-02-10,649
2024-02-11,527
2024-02-12,1333
2024-02-13,1418
2024-02-14,1342
2024-02-15,1044
2024-02-16,991
2024-02-17,671
2024-02-18,538
2024-02-19,857
2024-02-20,1164
2024-02-21,1168
2024-02-22,1052
2024-02-23,1106
2024-02-24,671
2024-02-25,570
2024-02-26,1243
2024-02-27,1425
2024-02-28,1636
2024-02-29,1615
2024-03-01,896
2024-03-02,539
2024-03-03,419
2024-03-04,829
2024-03-05,1104
2024-03-06,1387
2024-03-07,1127
2024-03-08,1153
2024-03-09,634
2024-03-10,491
2024-03-11,1087
2024-03-12,1312
2024-03-13,1221
2024-03-14,1316
2024-03-15,776
2024-03-16,664
2024-03-17,531
2024-03-18,1021
2024-03-19,1151
2024-03-20,984
2024-03-21,1116
2024-03-22,1092
2024-03-23,706
2024-03-24,500
2024-03-25,970
2024-03-26,1086
2024-03-27,1345
2024-03-28,1537
2024-03-29,1301
2024-03-30,843
2024-03-31,694
2024-04-01,1229
2024-04-02,1129
2024-04-03,1265
2024-04-04,1168
2024-04-05,958
2024-04-06,749
2024-04-07,640
2024-04-08,1249
2024-04-09,1321
2024-04-10,1251
2024-04-11,1297
2024-04-12,1207
2024-04-13,671
2024-04-14,616
2024-04-15,1302
2024-04-16,1613
2024-04-17,1487
2024-04-18,1393
2024-04-19,1244
2024-04-20,591
2024-04-21,626
2024-04-22,1263
2024-04-23,1695
2024-04-24,1437
2024-04-25,1402
2024-04-26,1253
2024-04-27,842
2024-04-28,911
2024-04-29,1759
2024-04-30,1914
2024-05-01,1202
2024-05-02,1401
2024-05-03,976
2024-05-04,701
2024-05-05,692
2024-05-06,1137
2024-05-07,1290
2024-05-08,1488
2024-05-09,1300
2024-05-10,1068
2024-05-11,743
2024-05-12,565
2024-05-13,1326
2024-05-14,1245
2024-05-15,1707
2024-05-16,1265
2024-05-17,1227
2024-05-18,800
2024-05-19,556
2024-05-20,1298
2024-05-21,1555
2024-05-22,1244
2024-05-23,1402
2024-05-24,1304
2024-05-25,800
2024-05-26,557
2024-05-27,1104
2024-05-28,1886
2024-05-29,1989
2024-05-30,1839
2024-05-31,1714
2024-06-01,624
2024-06-02,587
2024-06-03,1182
2024-06-04,1156
2024-06-05,1591
2024-06-06,1449
2024-06-07,1126
2024-06-08,795
2024-06-09,577
2024-06-10,1380
2024-06-11,1547
2024-06-12,1371
2024-06-13,1521
2024-06-14,1334
2024-06-15,809
2024-06-16,763
2024-06-17,1251
2024-06-18,1285
2024-06-19,1365
2024-06-20,1278
2024-06-21,1275
2024-06-22,775
2024-06-23,661
2024-06-24,1393
2024-06-25,1396
2024-06-26,1720
2024-06-27,1766
2024-06-28,2130
2024-06-29,1038
2024-06-30,766
2024-07-01,1036
2024-07-02,1319
2024-07-03,1325
2024-07-04,1349
2024-07-05,1218
2024-07-06,748
2024-07-07,592
2024-07-08,1097
2024-07-09,1339
2024-07-10,1639
2024-07-11,1433
2024-07-12,1134
2024-07-13,769
2024-07-14,673
2024-07-15,1182
2024-07-16,1427
2024-07-17,1523
2024-07-18,1246
2024-07-19,1345
2024-07-20,800
2024-07-21,720
2024-07-22,1437
2024-07-23,1215
2024-07-24,1376
2024-07-25,1483
2024-07-26,1369
2024-07-27,799
2024-07-28,1173
2024-07-29,1791
2024-07-30,2045
2024-07-31,2167
2024-08-01,1355
2024-08-02,1138
2024-08-03,738
2024-08-04,542
2024-08-05,1148
2024-08-06,1348
2024-08-07,1538
2024-08-08,1746
2024-08-09,1065
2024-08-10,816
2024-08-11,549
2024-08-12,1249
2024-08-13,1575
2024-08-14,1540
2024-08-15,1268
2024-08-16,1219
2024-08-17,818
2024-08-18,609
2024-08-19,1342
2024-08-20,1430
2024-08-21,1434
2024-08-22,1731
2024-08-23,1399
2024-08-24,612
2024-08-25,671
2024-08-26,1230
2024-08-27,1549
2024-08-28,1841
2024-08-29,1836
2024-08-30,1802
2024-08-31,1088
2024-09-01,523
2024-09-02,1149
2024-09-03,1227
2024-09-04,1297
2024-09-05,1517
2024-09-06,1376
2024-09-07,675
2024-09-08,723
2024-09-09,1605
2024-09-10,1583
2024-09-11,1311
2024-09-12,1367
2024-09-13,1494
2024-09-14,719
2024-09-15,693
2024-09-16,1431
2024-09-17,1306
2024-09-18,1541
2024-09-19,973
2024-09-20,1193
2024-09-21,756
2024-09-22,582
2024-09-23,1548
2024-09-24,1236
2024-09-25,1486
2024-09-26,1463
2024-09-27,1983
2024-09-28,866
2024-09-29,968
2024-09-30,1737
2024-10-01,1467
2024-10-02,1834
2024-10-03,1661
2024-10-04,1413
2024-10-05,884
2024-10-06,804
2024-10-07,1692
2024-10-08,1933
2024-10-09,2263
2024-10-10,1589
2024-10-11,2032
2024-10-12,787
2024-10-13,825
2024-10-14,1776
2024-10-15,1868
2024-10-16,1836
2024-10-17,1781
2024-10-18,1597
2024-10-19,922
2024-10-20,912
2024-10-21,1741
2024-10-22,1696
2024-10-23,2139
2024-10-24,1879
2024-10-25,1821
2024-10-26,1044
2024-10-27,773
2024-10-28,2068
2024-10-29,2552
2024-10-30,2714
2024-10-31,2371
2024-11-01,1537
2024-11-02,1000
2024-11-03,715
2024-11-04,1604
2024-11-05,1615
2024-11-06,1930
2024-11-07,2034
2024-11-08,1832
2024-11-09,1068
2024-11-10,957
2024-11-11,1698
2024-11-12,1961
2024-11-13,1917
2024-11-14,1897
2024-11-15,1675
2024-11-16,1000
2024-11-17,899
2024-11-18,1560
2024-11-19,2226
2024-11-20,1784
2024-11-21,1618
2024-11-22,1898
2024-11-23,2678
2024-11-24,2261
2024-11-25,4525
2024-11-26,3686
2024-11-27,4705
2024-11-28,4838
2024-11-29,2067
2024-11-30,1420
2024-12-01,757
2024-12-02,1410
2024-12-03,1612
2024-12-04,1868
2024-12-05,1572
2024-12-06,1569
2024-12-07,1022
2024-12-08,876
2024-12-09,1625
2024-12-10,1767
2024-12-11,2044
2024-12-12,1587
2024-12-13,1473
2024-12-14,928
2024-12-15,1259
2024-12-16,2654
2024-12-17,3201
2024-12-18,3262
2024-12-19,2746
2024-12-20,2572
2024-12-21,1353
2024-12-22,1287
2024-12-23,2506
2024-12-24,2886
2024-12-25,1842
2024-12-26,1962
2024-12-27,1987
2024-12-28,1293
2024-12-29,1165
2024-12-30,2396
2024-12-31,2332
