Date,Sales,Day_of_Week,Month,Quarter
2024-01-01,964,Monday,January,Q1
2024-01-02,981,Tuesday,January,Q1
2024-01-03,1141,Wednesday,January,Q1
2024-01-04,1147,Thursday,January,Q1
2024-01-05,898,Friday,January,Q1
2024-01-06,582,Saturday,January,Q1
2024-01-07,592,Sunday,January,Q1
2024-01-08,1101,Monday,January,Q1
2024-01-09,1057,Tuesday,January,Q1
2024-01-10,1259,Wednesday,January,Q1
2024-01-11,1058,Thursday,January,Q1
2024-01-12,977,Friday,January,Q1
2024-01-13,612,Saturday,January,Q1
2024-01-14,415,Sunday,January,Q1
2024-01-15,849,Monday,January,Q1
2024-01-16,1049,Tuesday,January,Q1
2024-01-17,1077,Wednesday,January,Q1
2024-01-18,1148,Thursday,January,Q1
2024-01-19,934,Friday,January,Q1
2024-01-20,515,Saturday,January,Q1
2024-01-21,590,Sunday,January,Q1
2024-01-22,1006,Monday,January,Q1
2024-01-23,1123,Tuesday,January,Q1
2024-01-24,1030,Wednesday,January,Q1
2024-01-25,1055,Thursday,January,Q1
2024-01-26,1042,Friday,January,Q1
2024-01-27,532,Saturday,January,Q1
2024-01-28,696,Sunday,January,Q1
2024-01-29,1261,Monday,January,Q1
2024-01-30,1411,Tuesday,January,Q1
2024-01-31,1472,Wednesday,January,Q1
2024-02-01,1194,Thursday,February,Q1
2024-02-02,929,Friday,February,Q1
2024-02-03,485,Saturday,February,Q1
2024-02-04,504,Sunday,February,Q1
2024-02-05,818,Monday,February,Q1
2024-02-06,1145,Tuesday,February,Q1
2024-02-07,971,Wednesday,February,Q1
2024-02-08,973,Thursday,February,Q1
2024-02-09,1057,Friday,February,Q1
2024-02-10,649,Saturday,February,Q1
2024-02-11,527,Sunday,February,Q1
2024-02-12,1333,Monday,February,Q1
2024-02-13,1418,Tuesday,February,Q1
2024-02-14,1342,Wednesday,February,Q1
2024-02-15,1044,Thursday,February,Q1
2024-02-16,991,Friday,February,Q1
2024-02-17,671,Saturday,February,Q1
