Date,Value
2024-06-04,95
2024-06-13,28
2024-06-14,91
2024-04-18,16
2024-12-09,42
2024-03-24,51
2024-10-04,73
2024-03-10,90
2024-08-16,26
2024-05-03,37
2024-08-18,95
2024-05-27,79
2024-11-11,39
2024-10-26,90
2024-05-08,63
2024-05-15,64
2024-06-24,73
2024-08-20,53
2024-06-25,14
2024-04-13,61
2024-03-12,59
2024-03-01,26
2024-04-02,28
2024-05-30,17
2024-11-25,52
2024-08-22,75
2024-08-27,50
2024-10-04,62
2024-01-28,27
2024-11-25,63
2024-07-02,48
2024-10-26,96
2024-07-11,43
2024-06-25,88
2024-08-17,97
2024-05-01,48
2024-06-14,38
2024-02-14,16
2024-01-17,87
2024-05-25,10
2024-04-15,84
2024-07-17,28
2024-11-05,65
2024-08-20,58
2024-09-28,49
2024-11-07,35
2024-03-23,58
2024-04-24,51
2024-04-24,25
2024-11-06,92
2024-06-21,17
2024-03-22,19
2024-03-29,16
2024-01-20,19
2024-03-03,80
2024-06-16,35
2024-12-18,37
2024-07-25,25
2024-08-06,60
2024-05-29,90
2024-03-07,21
2024-08-13,17
2024-11-11,59
2024-01-27,87
2024-07-26,49
2024-04-15,15
2024-04-26,94
2024-04-17,60
2024-07-25,48
2024-02-01,40
2024-02-29,34
2024-09-07,18
2024-02-12,35
2024-04-14,68
2024-03-07,43
2024-12-12,54
2024-07-19,48
2024-07-26,98
2024-07-05,65
2024-11-17,31
2024-10-13,46
2024-02-17,75
2024-01-28,72
2024-10-03,50
2024-10-29,63
2024-08-29,49
2024-08-20,46
2024-05-31,22
2024-04-23,87
2024-11-04,90
2024-11-09,22
2024-12-20,17
2024-05-09,68
2024-08-04,92
2024-01-28,58
2024-01-10,78
2024-07-30,80
2024-07-04,10
2024-05-20,31
2024-04-01,29
2024-12-29,24
2024-10-01,69
2024-04-06,96
2024-05-30,73
2024-02-13,58
2024-05-10,15
2024-08-28,78
2024-06-12,31
2024-03-01,92
2024-08-22,48
2024-09-04,34
2024-05-20,27
2024-03-31,13
2024-06-24,42
2024-05-25,55
2024-06-26,47
2024-09-14,47
2024-03-17,57
2024-07-14,98
2024-09-05,10
2024-11-13,84
2024-01-11,85
2024-12-23,16
2024-04-03,52
2024-03-05,11
2024-10-26,72
2024-05-23,47
2024-10-14,23
2024-03-11,43
2024-11-11,77
2024-10-05,72
2024-01-25,99
2024-10-11,46
2024-01-27,18
2024-06-22,92
2024-03-14,91
2024-10-14,99
2024-12-23,89
2024-09-27,95
2024-06-05,74
2024-11-11,45
2024-08-29,69
2024-03-01,27
2024-04-15,85
2024-08-18,94
2024-08-11,52
2024-05-24,20
2024-04-22,67
2024-12-17,16
2024-06-29,54
2024-06-16,15
2024-09-27,74
2024-11-06,24
2024-05-02,68
2024-08-01,92
2024-08-07,83
2024-07-23,33
2024-02-11,42
2024-09-07,20
2024-05-29,55
2024-02-11,13
2024-07-08,74
2024-11-14,20
2024-01-28,92
2024-03-21,88
2024-05-23,84
2024-07-13,60
2024-01-30,50
2024-06-22,88
2024-12-21,35
2024-01-19,40
2024-07-31,68
2024-08-03,66
2024-10-08,49
2024-07-05,14
2024-03-28,46
2024-01-01,88
2024-11-09,33
2024-08-12,30
2024-09-01,64
2024-11-27,29
2024-02-25,37
2024-01-17,85
2024-05-26,25
2024-08-27,66
2024-05-17,41
2024-08-21,54
2024-07-23,88
2024-02-18,66
2024-07-29,51
2024-01-27,12
2024-01-29,73
2024-08-30,37
2024-12-15,24
2024-06-16,49
2024-03-17,28
2024-02-26,68
2024-10-28,33
2024-10-08,45
2024-11-18,26
